total_area,num_rooms,wall_length,perimeter,complexity,openings,file_type,filename,total_cost,cost_cement,cost_bricks,cost_sand,cost_tiles,cost_paint,cost_adhesive,cost_fixtures,cost_mason_labor,cost_helper_labor,cost_miscellaneous,concrete_volume,steel_quantity,formwork_area,footing_count,column_count,beam_length,slab_area,structure_complexity,project_id,cost_steel,cost_binding_wire,cost_aggregate_10mm,cost_aggregate_20mm,cost_formwork_material,cost_formwork_labor,cost_concreting_labor,cost_steel_fixing_labor,cost_carpenter_labor
,,,,,,structural,Architectural Plan.dxf,5955346.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,8880.0,1104.0,11.0,34.0,471.43413281249997,1802.2190624999998,10.0,2,710400.0,3996.0,675000.0,630000.0,207000.0,496800.0,600000.0,113220.0,187680.0
,,,,,,structural,First Floor.dxf,5175911.5,900000.0,,1181250.0,,,,,,,250000.0,500.0,3870.0,717.0,11.0,12.0,500.0,2000.0,10.0,2,309600.0,1741.5,675000.0,630000.0,134437.5,322650.0,600000.0,49342.5,121890.0
,,,,,,structural,Footing & Column Drawing.dxf,6196669.25,900000.0,,1181250.0,,,,,,,250000.0,500.0,9065.0,1381.5,42.0,63.0,500.0,2000.0,10.0,2,725200.0,4079.25,675000.0,630000.0,259031.25,621675.0,600000.0,115578.75,234855.0
,,,,,,structural,Ground Beams.dxf,5596049.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,8105.0,748.5,48.0,90.0,500.0,2000.0,10.0,2,648400.0,3647.25,675000.0,630000.0,140343.75,336825.0,600000.0,103338.75,127245.0
,,,,,,structural,Second Floor.dxf,5122984.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,3705.0,670.5,10.0,12.0,500.0,2000.0,10.0,2,296400.0,1667.25,675000.0,630000.0,125718.75,301725.0,600000.0,47238.75,113985.0
,,,,,,structural,Architectural Plan.dxf,3126668.8099999996,542709.04,,712305.62,,,,,,,150752.51,301.5050244140625,3150.0,345.0,2.0,10.0,92.432197265625,117.37421875000001,10.0,3,252000.0,1417.5,407031.78,379896.33,64687.5,155250.0,361806.03,40162.5,58650.0
,,,,,,structural,Column and Footing Drawing.dxf,7359618.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,14590.0,2184.0,50.0,100.0,500.0,2000.0,10.0,3,1167200.0,6565.5,675000.0,630000.0,409500.0,982800.0,600000.0,186022.5,371280.0
,,,,,,structural,First Floor.dxf,5330225.5,900000.0,,1181250.0,,,,,,,250000.0,500.0,4590.0,825.0,12.0,15.0,328.05680273437497,2000.0,10.0,3,367200.0,2065.5,675000.0,630000.0,154687.5,371250.0,600000.0,58522.5,140250.0
,,,,,,structural,Ground Beam.dxf,4671172.83,877893.16,,1152234.77,,,,,,,243859.21,487.7184228515625,2430.0,387.0,4.0,8.0,88.942271484375,702.75375,10.0,3,194400.0,1093.5,658419.87,614525.21,72562.5,174150.0,585262.11,30982.5,65790.0
,,,,,,structural,Second Floor.dxf,5282890.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,4485.0,778.5,11.0,14.0,328.372078125,2000.0,10.0,3,358800.0,2018.25,675000.0,630000.0,145968.75,350325.0,600000.0,57183.75,132345.0
,,,,,,structural,Terrace Level.dxf,5224745.5,900000.0,,1181250.0,,,,,,,250000.0,500.0,4290.0,729.0,10.0,14.0,278.6388515625,2000.0,10.0,3,343200.0,1930.5,675000.0,630000.0,136687.5,328050.0,600000.0,54697.5,123930.0
,,,,,,structural,Architectural Plan.dxf,3478524.7800000003,627676.63,,823825.58,,,,,,,174354.62,348.70923828125,2985.0,304.5,2.0,9.0,86.02455175781249,50.0,10.0,4,238800.0,1343.25,470757.47,439373.64,57093.75,137025.0,418451.09,38058.75,51765.0
,,,,,,structural,Column and Footing Drawing.dxf,8073809.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,18770.0,2586.0,31.0,73.0,500.0,2000.0,10.0,4,1501600.0,8446.5,675000.0,630000.0,484875.0,1163700.0,600000.0,239317.5,439620.0
,,,,,,structural,First Floor.dxf,6423503.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,10940.0,1446.0,50.0,84.0,500.0,2000.0,10.0,4,875200.0,4923.0,675000.0,630000.0,271125.0,650700.0,600000.0,139485.0,245820.0
,,,,,,structural,Ground Beam.dxf,5699496.5,900000.0,,1181250.0,,,,,,,250000.0,500.0,9020.0,771.0,50.0,100.0,321.8669296875,2000.0,10.0,4,721600.0,4059.0,675000.0,630000.0,144562.5,346950.0,600000.0,115005.0,131070.0
,,,,,,structural,Second Floor.dxf,6263968.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,10125.0,1342.5,47.0,78.0,500.0,2000.0,10.0,4,810000.0,4556.25,675000.0,630000.0,251718.75,604125.0,600000.0,129093.75,228225.0
